Name;City;Country;ICAO;;;;
Wevelgem Airport;Kortrijk-vevelgem;Belgium;EBKT;;;;
Liège Airport;Liege;Belgium;EBLG;;;;
Ostend-Bruges International Airport;Ostend;Belgium;EBOS;;;;
Zutendaal Air Base;Zutendaal;Belgium;EBSL;;;;
Brustem Airfield Sint Truiden;Sint-truiden;Belgium;EBST;;;;
Saint Hubert Air Base;St.-hubert;Belgium;EBSU;;;;
Ursel Air Base;Ursel;Belgium;EBUL;;;;
Weelde Air Base;Weelde;Belgium;EBWE;;;;
Zoersel (Oostmalle) Airfield;Zoersel;Belgium;EBZR;;;;
Flugplatz Bautzen;Bautzen;Germany;EDAB;;;;
Altenburg-Nobitz Airport;Altenburg;Germany;EDAC;;;;
Dessau Airfield;Dessau;Germany;EDAD;;;;
Eisenhüttenstadt Airfield;Eisenhuettenstadt;Germany;EDAE;;;;
Großenhain Airport;Suhl;Germany;EDAK;;;;
Merseburg Airport;Muehlhausen;Germany;EDAM;;;;
Halle-Oppin Airport;Halle;Germany;EDAQ;;;;
Riesa-Göhlis Airport;Riesa;Germany;EDAU;;;;
Rechlin-Lärz Airport;Rechlin-laerz;Germany;EDAX;;;;
Strausberg Airport;Strausberg;Germany;EDAY;;;;
Schönhagen Airport;Schoenhagen;Germany;EDAZ;;;;
Barth Airport;Barth;Germany;EDBH;;;;
Jena-Schöngleina Airfield;Jena;Germany;EDBJ;;;;
Kyritz Airport;Kyritz;Germany;EDBK;;;;
"Magdeburg ""City"" Airport";Magdeburg;Germany;EDBM;;;;
Rothenburg/Görlitz Airport;Rothenburg/ol;Germany;EDBR;;;;
Anklam Airfield;Anklam;Germany;EDCA;;;;
Cottbus-Drewitz Airport;Cottbus;Germany;EDCD;;;;
Kamenz Airport;Kamenz;Germany;EDCM;;;;
Berlin-Schönefeld Airport;Berlin;Germany;EDDB;;;;
Dresden Airport;Dresden;Germany;EDDC;;;;
Erfurt Airport;Erfurt;Germany;EDDE;;;;
Frankfurt am Main Airport;Frankfurt;Germany;EDDF;;;;
Münster Osnabrück Airport;Munster;Germany;EDDG;;;;
Hamburg Airport;Hamburg;Germany;EDDH;;;;
Berlin-Tempelhof International Airport;Berlin;Germany;EDDI;;;;
Cologne Bonn Airport;Cologne;Germany;EDDK;;;;
Düsseldorf Airport;Duesseldorf;Germany;EDDL;;;;
Munich Airport;Munich;Germany;EDDM;;;;
Nuremberg Airport;Nuernberg;Germany;EDDN;;;;
Leipzig/Halle Airport;Leipzig;Germany;EDDP;;;;
Saarbrücken Airport;Saarbruecken;Germany;EDDR;;;;
Stuttgart Airport;Stuttgart;Germany;EDDS;;;;
Berlin-Tegel Airport;Berlin;Germany;EDDT;;;;
Hannover Airport;Hannover;Germany;EDDV;;;;
Bremen Airport;Bremen;Germany;EDDW;;;;
Frankfurt-Egelsbach Airport;Egelsbach;Germany;EDFE;;;;
Frankfurt-Hahn Airport;Hahn;Germany;EDFH;;;;
Mannheim-City Airport;Mannheim;Germany;EDFM;;;;
Allendorf/Eder Airport;Allendorf;Germany;EDFQ;;;;
Worms Airport;Worms;Germany;EDFV;;;;
Mainz-Finthen Airport;Mainz;Germany;EDFZ;;;;
Eisenach-Kindel Airport;Eisenach;Germany;EDGE;;;;
Siegerland Airport;Siegerland;Germany;EDGS;;;;
Hamburg-Finkenwerder Airport;Hamburg;Germany;EDHI;;;;
Kiel-Holtenau Airport;Kiel;Germany;EDHK;;;;
Lübeck Blankensee Airport;Luebeck;Germany;EDHL;;;;
Flugplatz Dahlemer Binz;Dahlemer Binz;Germany;EDKV;;;;
Meinerzhagen Airport;Meinerzhagen;Germany;EDKZ;;;;
Arnsberg-Menden Airport;Arnsberg;Germany;EDLA;;;;
Essen Mulheim Airport;Essen;Germany;EDLE;;;;
Bielefeld Airport;Bielefeld;Germany;EDLI;;;;
Mönchengladbach Airport;Moenchengladbach;Germany;EDLN;;;;
Paderborn Lippstadt Airport;Paderborn;Germany;EDLP;;;;
Stadtlohn-Vreden Airport;Stadtlohn;Germany;EDLS;;;;
Dortmund Airport;Dortmund;Germany;EDLW;;;;
Augsburg Airport;Augsburg;Germany;EDMA;;;;
Biberach a.d. Riß Airfield;Biberach;Germany;EDMB;;;;
Eggenfelden Airport;Eggenfelden;Germany;EDME;;;;
Mindelheim-Mattsies Airfield;Mindelheim;Germany;EDMN;;;;
Oberpfaffenhofen Airport;Oberpfaffenhofen;Germany;EDMO;;;;
Straubing Airport;Straubing;Germany;EDMS;;;;
Vilshofen Airport;Vilshofen;Germany;EDMV;;;;
Leutkirch-Unterzeil Airport;Leutkirch;Germany;EDNL;;;;
Friedrichshafen Airport;Friedrichshafen;Germany;EDNY;;;;
Schwerin Parchim Airport;Parchim;Germany;EDOP;;;;
Stendal-Borstel Airport;Stendal;Germany;EDOV;;;;
Aalen-Heidenheim/Elchingen Airport;Aalen-heidenheim;Germany;EDPA;;;;
